,precision,recall,f1-score,support
0,0.9818840579710145,0.9830713422007256,0.9824773413897281,827.0
1,0.9872746553552492,0.9935965848452508,0.9904255319148936,937.0
2,0.9690844233055886,0.9760479041916168,0.9725536992840096,835.0
3,0.9610538373424972,0.964367816091954,0.9627079747561675,870.0
4,0.9692118226600985,0.9668304668304668,0.968019680196802,814.0
5,0.964,0.9525691699604744,0.9582504970178927,759.0
6,0.9867469879518073,0.9903264812575574,0.9885334942667471,827.0
7,0.9726962457337884,0.9715909090909091,0.9721432632177374,880.0
8,0.9711417816813049,0.9520295202952029,0.9614906832298137,813.0
9,0.9492325855962219,0.9594272076372315,0.9543026706231454,838.0
accuracy,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
macro avg,0.9712326397597572,0.9709857402401388,0.9710904835896936,8400.0
weighted avg,0.9714308159668773,0.9714285714285714,0.9714115170748328,8400.0
